CD_CVM,rank,DENOM_CIA,setor,score_0_100,score_bruto,obj1_teto_rs,obj1_teto_pct_receita,obj1_0_100,obj2_potencial_viavel_rs,obj2_viavel_pct_receita,obj2_desconto_financeiro_rs,obj2_0_100,obj3_potencial_final_rs,obj3_viavel_pct_receita,obj3_boost_readiness_rs,obj3_0_100,exposicao,exposicao_0_100,f_fin,f_fin_0_100,readiness,readiness_0_100,mult_setor,rho_captura,fator_execucao,obj2_desconto_captura_rs,obj2_desconto_total_rs,obj3_ajuste_execucao_rs,receita,sga,vendas,pessoal,cpv,pdd,estoques,caixa,divida_liquida,ebitda,ativo_total,valor_sga_rs,valor_vendas_rs,valor_pessoal_rs,valor_cpv_rs,valor_pdd_rs,valor_estoques_rs,contrib_sga,contrib_vendas,contrib_pessoal,contrib_cpv,contrib_pdd,contrib_estoques,caixa_sobre_ativo,dl_sobre_ebitda,valido
24392,1.0,HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.,tecnologia,100.0,0.387774157367527,1510659012.0,217.23972976237724,72.44897959183673,317238392.52000004,45.62034325009923,1057461308.4,64.54081632653062,269653495.74348986,38.7774157367527,-47584896.77651018,64.54081632653062,2.172397297623773,100.0,0.30000000000000004,30.000000000000004,1.646981461733812e-05,0.001646981461733812,1.2,0.7,0.8500027175194118,135959311.08000004,1193420619.48,-47584896.77651018,695388000.0,1914529000.0,574506000.0,647891000.0,27853701000.0,,362798000.0,875444000.0,24860996000.0,2326337000.0,72289824000.0,689230440.0,220610304.0,272114220.0,250339680.0,0.0,78364368.0,0.9911451448687639,0.3172477868470552,0.3913127922828694,0.36,0.0,0.11269157362508411,0.012110196865329206,10.686756046093064,True
25399,2.0,NEOGRID PARTICIPAÇÕES S.A.,tecnologia,83.10475724836247,0.3233470123022847,147187560.0,54.344035681056255,21.428571428571427,103031292.0,38.04082497673938,0.0,38.01020408163265,87576598.2,32.334701230228475,-15454693.799999997,37.755102040816325,0.5434403568105626,98.46938775510205,1.0,100.0,0.0,0.0,1.2,0.7,0.85,44156268.00000001,44156268.0,-15454693.799999997,270844000.0,134125000.0,43260000.0,164312000.0,110664000.0,,0.0,81318000.0,-58935000.0,22394000.0,564284000.0,48285000.0,16611840.0,69011040.0,13279680.0,0.0,0.0,0.17827605558919526,0.061333609014783415,0.2547999586477825,0.04903073355880137,0.0,0.0,0.14410828589859007,-2.6317317138519245,True
23817,3.0,BRQ SOLUCOES EM INFORMATICA S.A.,tecnologia,64.56419127466403,0.25264570595595287,279868020.0,47.14193888534221,32.6530612244898,176316852.6,29.6994214977656,27986801.999999993,52.806122448979586,149988428.9005765,25.264570595595288,-26328423.699423492,52.806122448979586,0.47141938885342216,97.44897959183673,0.9,90.0,0.004094013525123228,0.40940135251232285,1.2,0.7,0.8506755122316453,75564365.4,103551167.4,-26328423.699423492,593671000.0,140827000.0,0.0,438131000.0,376294000.0,,0.0,21983000.0,106419000.0,88886000.0,416706000.0,50697720.0,0.0,184015020.0,45155280.0,0.0,0.0,0.0853969959792545,0.0,0.30996127484751657,0.07606111802665112,0.0,0.0,0.052754220001631845,1.197252660711473,True
23310,4.0,CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.,varejo,56.38222868571156,0.22144517818693135,615536130.0,41.352974451341055,55.86734693877551,387787761.9,26.05237390434486,61553612.999999985,68.62244897959184,329619597.61499995,22.14451781869313,-58168164.285000026,68.62244897959184,0.41352974451341057,96.1734693877551,0.9,90.0,0.0,0.0,1.1,0.7,0.85,166194755.10000002,227748368.10000002,-58168164.285000026,1488493000.0,975982000.0,288500000.0,486268000.0,42699000.0,,0.0,286727000.0,503943000.0,504974000.0,3738885000.0,322074060.0,101552000.00000001,187213180.0,4696890.000000001,0.0,0.0,0.21637593189890716,0.06822470780850162,0.12577363816961182,0.00315546663638996,0.0,0.0,0.0766878360794729,0.9979583107249086,True
24805,5.0,VIVARA PARTICIPAÇÕES S.A.,tecnologia,52.419026291942735,0.20633217748609728,1166164639.476,38.53075209824413,68.11224489795919,734683722.86988,24.2743738218938,116616463.94759998,80.10204081632652,624481164.4393979,20.633217748609727,-110202558.43048203,80.10204081632652,0.38530752098244125,94.13265306122449,0.9,90.0,0.0,0.0,1.2,0.7,0.85,314864452.65852004,431480916.6061201,-110202558.43048203,3026581564.0,282215709.0,1086276218.0,517647891.0,921472483.0,,1478926409.0,365433346.0,697118068.0,879157151.0,4722693388.0,101597655.24,417130067.712,217412114.22,110576697.96,0.0,319448104.344,0.03356845110287601,0.13782217954196194,0.07183421613546839,0.03653517859068014,0.0,0.1055474956114548,0.07737816452970205,0.7929390862680932,True
20044,6.0,CSU DIGITAL S.A.,tecnologia,51.49750018428849,0.2028180938418422,212251404.0,34.040341988905084,27.040816326530614,148575982.79999998,23.82823939223356,0.0,45.66326530612245,126462963.23511006,20.28180938418423,-22113019.564889923,45.40816326530612,0.3404034198890508,90.05102040816327,1.0,100.0,0.007072306436427412,0.7072306436427412,1.2,0.7,0.8511669305620105,63675421.20000001,63675421.20000002,-22113019.564889923,623529000.0,143464000.0,5101000.0,271667000.0,365677000.0,,3075000.0,75674000.0,130624000.0,174728000.0,750929000.0,51647040.0,1958784.0,114100140.0,43881240.0,0.0,664200.0,0.08283021318976341,0.0031414481122770555,0.18299091140909243,0.07037562005937173,0.0,0.0010652271185462104,0.10077384146836785,0.7475848175449842,True
19992,7.0,TOTVS S.A.,tecnologia,51.42476207816393,0.20254071940076745,1962426312.0,33.99985328837272,77.29591836734694,1373698418.3999999,23.799897301860902,0.0,87.75510204081633,1169038094.4655495,20.254071940076745,-204660323.9344504,87.75510204081633,0.3399985328837272,89.79591836734694,1.0,100.0,0.006152110451662375,0.6152110451662375,1.2,0.7,0.8510150982245243,588727893.6000001,588727893.6000001,-204660323.9344504,5771867000.0,584717000.0,1300048000.0,2424124000.0,1716326000.0,59622000.0,0.0,1785703000.0,1672557000.0,1463812000.0,9452171000.0,210498120.0,499218432.0,1018132080.0,205959120.0,28618560.0,0.0,0.03646967610307029,0.08649167279842035,0.17639562380768647,0.035683275446229096,0.004958284728321009,0.0,0.18891987882995345,1.142603695010015,True
4537,8.0,GRAZZIOTIN S.A.,tecnologia,50.965998681272644,0.20079130293149097,249166332.0,33.45345246806254,30.102040816326532,174416432.39999998,23.417416727643776,0.0,52.55102040816326,149552374.29291844,20.0791302931491,-24864058.107081532,52.55102040816326,0.3345345246806254,88.77551020408163,1.0,100.0,0.04511691775590723,4.511691775590723,1.2,0.7,0.8574442914297247,74749899.60000001,74749899.60000002,-24864058.107081532,744815000.0,74723000.0,231590000.0,142263000.0,345221000.0,,148882000.0,147062000.0,-147062000.0,89228000.0,1263495000.0,26900280.0,88930560.0,59750460.0,41426520.0,0.0,32158512.0,0.036116726972469676,0.11939952874203662,0.08022188060122312,0.05561987876184019,0.0,0.043176509603055795,0.11639302094586841,-1.6481597704756354,True
25259,9.0,ENJOEI S.A.,outros,48.35672612688573,0.19084128422815227,84664250.0,32.074165416496186,14.285714285714285,59264974.99999999,22.451915791547332,0.0,26.02040816326531,50375228.74999999,19.08412842281523,-8889746.25,26.02040816326531,0.32074165416496186,87.24489795918367,1.0,100.0,0.0,0.0,1.0,0.7,0.85,25399275.000000004,25399275.000000007,-8889746.25,263964000.0,128239000.0,48287000.0,54359000.0,116886000.0,,147000.0,210352000.0,-210352000.0,10435000.0,455101000.0,38471700.0,15451840.0,19025650.0,11688600.0,0.0,26460.0,0.1457460108196572,0.05853767938052159,0.07207668469942871,0.04428103832340774,0.0,0.00010024094194662908,0.4622094875642989,-20.15831336847149,True
22616,10.0,BCO BTG PACTUAL S.A.,outros,47.16649144170037,0.18630252596043295,11744225810.0,41.72636313950311,96.1734693877551,6165718550.25,21.906340648239134,2936056452.5,96.93877551020408,5243636802.320095,18.630252596043295,-922081747.9299049,96.93877551020408,0.4172636313950311,96.42857142857143,0.75,75.0,0.002728709075856807,0.2728709075856807,1.0,0.7,0.8504502369975163,2642450807.2500005,5578507259.75,-922081747.9299049,28145817000.0,7907296000.0,13106423000.0,7478687000.0,0.0,6401103000.0,,5815072000.0,-5815072000.0,20341812000.0,809301519000.0,2372188800.0,4194055360.0,2617540450.0,0.0,2560441200.0,0.0,0.08428210842129756,0.149011675873541,0.09299927054879947,0.0,0.09097057655139307,0.0,0.0071852972760823395,-0.2858679452941557,True
