CD_CVM,receita,cpv,vendas,sga,ebit,pdd,caixa,estoques,ativo_total,intangivel,software,divida,pessoal,depreciacao,fco,template,pdd_fonte,alerta_receita,DENOM_CIA,setor_cvm,categoria_cvm,mercado_cvm,origem_dfp,setor,setor_fonte,ebitda,divida_liquida
94,2109725000.0,1848647000.0,73410000.0,71769000.0,128411000.0,3914000.0,25071000.0,294669000.0,1617429000.0,4712000.0,,482988000.0,75371000.0,14642000.0,209989000.0,padrao,dva,False,PANATLANTICA S.A.,Metalurgia e Siderurgia,Categoria A,BOLSA,consolidado,commodities,cvm,143053000.0,457917000.0
701,354632000.0,169411000.0,0.0,193539000.0,-27063000.0,0.0,15715000.0,0.0,528180000.0,236099000.0,,56966000.0,198411000.0,16837000.0,121112000.0,padrao,dva,False,BIOMA EDUCAÇÃO S.A.,Emp. Adm. Part. - Educação,Categoria A,BOLSA,consolidado,saude_educacao,cvm,-10226000.0,41251000.0
1520,33086000.0,28800000.0,2189000.0,18870000.0,-16654000.0,2445000.0,17626000.0,47836000.0,545083000.0,24502000.0,,183094000.0,21700000.0,2086000.0,6101000.0,padrao,dva,False,BARDELLA S.A. INDUSTRIAS MECANICAS EM RECUPERAÇÃO JUDICIAL,"Máquinas, Equipamentos, Veículos e Peças",Categoria A,BOLSA,consolidado,industria,cvm,-14568000.0,165468000.0
1562,194386000.0,74578000.0,48035000.0,43027000.0,35985000.0,837000.0,16862000.0,62716000.0,286669000.0,1208000.0,,16725000.0,49072000.0,4985000.0,31278000.0,padrao,dva,False,BAUMER S.A.,Metalurgia e Siderurgia,Categoria A,BOLSA,consolidado,commodities,cvm,40970000.0,-137000.0
1570,247171000.0,185779000.0,37838000.0,4741000.0,18794000.0,163000.0,35468000.0,14505000.0,183553000.0,33000.0,33000.0,0.0,41658000.0,5621000.0,21788000.0,padrao,dva,False,EXCELSIOR ALIMENTOS S.A.,Alimentos,Categoria A,BOLSA,individual,industria,cvm,24415000.0,-35468000.0
1694,15064000.0,10451000.0,1889000.0,7867000.0,2437000.0,0.0,164596000.0,7185000.0,232040000.0,0.0,,4244000.0,4814000.0,119000.0,15398000.0,padrao,dva,False,BICICLETAS MONARK S.A.,Brinquedos e Lazer,Categoria A,BOLSA,individual,industria,cvm,2556000.0,-160352000.0
2100,437894000.0,221267000.0,80044000.0,40103000.0,95141000.0,3137000.0,1684000.0,35819000.0,368932000.0,6369000.0,,3233000.0,95297000.0,13396000.0,85828000.0,padrao,dva,False,CAMBUCI S.A.,Têxtil e Vestuário,Categoria A,BOLSA,consolidado,industria,cvm,108537000.0,1549000.0
2429,1627470000.0,1002024000.0,141788000.0,120798000.0,317934000.0,210000.0,604232000.0,147851000.0,3620637000.0,135417000.0,,1686114000.0,276767000.0,195234000.0,395588000.0,padrao,dva,False,IRANI PAPEL E EMBALAGEM S.A.,Embalagens,Categoria A,BALCÃO ORGANIZADO,consolidado,industria,cvm,513168000.0,1081882000.0
2437,40181552000.0,22143030000.0,0.0,4559134000.0,22248904000.0,0.0,27081256000.0,441471000.0,289871330000.0,78173273000.0,,75803157000.0,3980847000.0,3987775000.0,12385583000.0,padrao,dva,False,AXIA ENERGIA S.A.,Emp. Adm. Part. - Energia Elétrica,Categoria A,BOLSA,consolidado,utilities,cvm,26236679000.0,48721901000.0
2453,39819620000.0,31663744000.0,174801000.0,819915000.0,9877932000.0,174801000.0,1898224000.0,0.0,59726836000.0,16805900000.0,,12279300000.0,2035003000.0,1376028000.0,5496902000.0,padrao,dre,False,CIA ENERGETICA DE MINAS GERAIS - CEMIG,Energia Elétrica,Categoria A,BOLSA,consolidado,utilities,cvm,11253960000.0,10381076000.0
